"Ano_Ref","Geral","POP_TOT","POP_URB","AG001","ES001","FN001","FN002","FN003","FN006","FN007","FN023","FN024","FN038"
1995,0.00808080808080808,0.00808080808080808,0.00808080808080808,0.00808080808080808,0.00808080808080808,0.00808080808080808,0.00808080808080808,0.00808080808080808,0.00808080808080808,0,0.00808080808080808,0.00808080808080808,0
1996,0.0323232323232323,0.0323232323232323,0.0323232323232323,0.0323232323232323,0.0202020202020202,0.0202020202020202,0.0323232323232323,0.0202020202020202,0.0323232323232323,0,0.0323232323232323,0.0141414141414141,0
1997,0.0343434343434343,0.0343434343434343,0.0343434343434343,0.0303030303030303,0.0181818181818182,0.0303030303030303,0.0303030303030303,0.0202020202020202,0.0303030303030303,0,0.0222222222222222,0.00808080808080808,0
1998,0.614141414141414,0.614141414141414,0.614141414141414,0.0646464646464646,0.0323232323232323,0.00808080808080808,0.0646464646464646,0.0303030303030303,0.0626262626262626,0,0.0646464646464646,0.0202020202020202,0
1999,0.636363636363636,0.636363636363636,0.636363636363636,0.0666666666666667,0.0343434343434343,0.0121212121212121,0.0666666666666667,0.0444444444444444,0.0666666666666667,0,0.0646464646464646,0.0202020202020202,0
2000,0.644444444444444,0.644444444444444,0.644444444444444,0.115151515151515,0.0484848484848485,0.0141414141414141,0.115151515151515,0.0505050505050505,0.115151515151515,0,0.115151515151515,0.0323232323232323,0
2001,0.652525252525253,0.652525252525253,0.652525252525253,0.165656565656566,0.0525252525252525,0.163636363636364,0.167676767676768,0.0545454545454545,0.167676767676768,0,0.15959595959596,0.0363636363636364,0
2002,0.660606060606061,0.660606060606061,0.660606060606061,0.268686868686869,0.0747474747474747,0.266666666666667,0.268686868686869,0.0767676767676768,0.266666666666667,0,0.270707070707071,0.0484848484848485,0
2003,0.666666666666667,0.666666666666667,0.666666666666667,0.296969696969697,0.0868686868686869,0.290909090909091,0.296969696969697,0.0909090909090909,0.296969696969697,0.00404040404040404,0.294949494949495,0.0525252525252525,0
2004,0.670707070707071,0.670707070707071,0.670707070707071,0.339393939393939,0.103030303030303,0.341414141414141,0.341414141414141,0.117171717171717,0.341414141414141,0.00404040404040404,0.329292929292929,0.0666666666666667,0
2005,0.666666666666667,0.666666666666667,0.666666666666667,0.337373737373737,0.101010101010101,0.337373737373737,0.337373737373737,0.094949494949495,0.337373737373737,0.00404040404040404,0.337373737373737,0.0666666666666667,0
2006,0.676767676767677,0.676767676767677,0.676767676767677,0.662626262626263,0.103030303030303,0.664646464646465,0.664646464646465,0.096969696969697,0.662626262626263,0.00404040404040404,0.648484848484848,0.0626262626262626,0
2007,0.670707070707071,0.670707070707071,0.670707070707071,0.666666666666667,0.107070707070707,0.670707070707071,0.670707070707071,0.096969696969697,0.670707070707071,0.00606060606060606,0.634343434343434,0.0747474747474747,0
2008,0.709090909090909,0.709090909090909,0.709090909090909,0.705050505050505,0.107070707070707,0.705050505050505,0.707070707070707,0.101010101010101,0.705050505050505,0.00404040404040404,0.591919191919192,0.0707070707070707,0
2009,0.892929292929293,0.892929292929293,0.892929292929293,0.852525252525253,0.161616161616162,0.836363636363636,0.84040404040404,0.109090909090909,0.204040404040404,0.0121212121212121,0.622222222222222,0.0828282828282828,0.00404040404040404
2010,0.903030303030303,0.903030303030303,0.903030303030303,0.862626262626263,0.17979797979798,0.866666666666667,0.856565656565657,0.105050505050505,0.858585858585859,0.00404040404040404,0.664646464646465,0.141414141414141,0
2011,0.911111111111111,0.911111111111111,0.911111111111111,0.872727272727273,0.185858585858586,0.868686868686869,0.864646464646465,0.115151515151515,0.866666666666667,0.00606060606060606,0.44040404040404,0.094949494949495,0
2012,0.953535353535354,0.953535353535354,0.953535353535354,0.886868686868687,0.226262626262626,0.882828282828283,0.874747474747475,0.123232323232323,0.884848484848485,0.0101010101010101,0.531313131313131,0.109090909090909,0.00202020202020202
2013,0.951515151515152,0.951515151515152,0.951515151515152,0.884848484848485,0.222222222222222,0.894949494949495,0.876767676767677,0.137373737373737,0.890909090909091,0.0121212121212121,0.509090909090909,0.125252525252525,0.00606060606060606
2014,0.973737373737374,0.973737373737374,0.973737373737374,0.915151515151515,0.218181818181818,0.919191919191919,0.903030303030303,0.135353535353535,0.913131313131313,0.0121212121212121,0.474747474747475,0.137373737373737,0.00202020202020202
2015,0.961616161616162,0.961616161616162,0.961616161616162,0.898989898989899,0.222222222222222,0.909090909090909,0.886868686868687,0.145454545454545,0.907070707070707,0.00606060606060606,0.476767676767677,0.137373737373737,0.00202020202020202
2016,1.0040404040404,1.0040404040404,1.0040404040404,0.941414141414141,0.234343434343434,0.939393939393939,0.923232323232323,0.149494949494949,0.937373737373737,0.0121212121212121,0.563636363636364,0.135353535353535,0.00606060606060606
2017,0.977777777777778,0.977777777777778,0.977777777777778,0.919191919191919,0.228282828282828,0.931313131313131,0.911111111111111,0.153535353535354,0.927272727272727,0.0101010101010101,0.56969696969697,0.117171717171717,0.00202020202020202
2018,0.993939393939394,0.993939393939394,0.993939393939394,0.939393939393939,0.222222222222222,0.951515151515152,0.925252525252525,0.155555555555556,0.945454545454545,0.00606060606060606,0.567676767676768,0.155555555555556,0.00202020202020202
2019,1.01616161616162,1.01616161616162,1.01616161616162,0.963636363636364,0.232323232323232,0.96969696969697,0.94949494949495,0.157575757575758,0.965656565656566,0.0141414141414141,0.543434343434343,0.151515151515152,0.00404040404040404
2020,1.04646464646465,1.04646464646465,1.04646464646465,0.983838383838384,0.244444444444444,0.985858585858586,0.965656565656566,0.15959595959596,0.985858585858586,0.0101010101010101,0.608080808080808,0.125252525252525,0.00404040404040404
